Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Захарченко Еріка;Іванівна;жінка;08-02-1940;Редактор;місто Лутугине;парк Старокінний, буд. 884 кв. 980, Великі Мости, 81609;+380 24 090-50-24;anton50@example.com
Дубенко Орхип;Васильович;чоловік;27-09-1938;Хореограф;хутір Судак ;проспект Обільний 1-й, буд. 7, Нова Одеса, 14296;+380 99 168 92 63;panchukalevtyn@example.org
Девдюк Амалія;Андріївна;жінка;04-02-1955;Фотограф;місто Авдіївка;узвіз Лїнія 1-ша, буд. 439, Нова Каховка, 10542;+380 90 557-95-90;osvystun@example.org
Сиротенко Андрій;Васильович;чоловік;13-01-1946;Золотар;хутір Миколаїв;набережна Лінія 25-та, буд. 406, Тячів, 09187;076 224-18-66;wilchenko@example.com
Опанасенко Миколай;Григорович;чоловік;04-06-1964;Адвокат;селище Тернівка ;набережна Михайлівська, буд. 5, Довжанськ, 75177;952 83 65;bohuslavachaika@example.net
Саєнко Камілла;Олегівна;жінка;25-11-1961;Петрограф;хутір Хрустальний;шосе Івана Микитенка, буд. 407, Підгородне, 29545;045 176-81-32;shelestherman@example.com
Єрченко Ярослава;Олександрівна;жінка;07-01-1998;Електротехнік;село Феодосія;узвіз Соляний 3-й, буд. 038 кв. 530, Щолкіне, 36440;066 487-30-32;borysishchak@example.org
Тимчук Арсен;Валерійович;чоловік;26-10-1963;Льотчик;хутір Білицьке;узвіз Травневий 4-й, буд. 2, Старокостянтинів, 21151;+380 (80) 832-42-35;varvara50@example.org
Ґерета Клавдія;Тимофіївна;жінка;25-06-1963;Інженер;село Дубно;провулок Шовкуненка, буд. 49 кв. 0, Карлівка, 15643;+380 (82) 117-20-55;myron46@example.net
Гузій Святослава;Михайлівна;жінка;08-07-1956;Вчитель;місто Алмазна;набережна Олександра Блока, буд. 80 кв. 79, Хмельницький, 18470;003 486-50-13;okhrimchernenko@example.org
Бездітко Роман;Григорович;чоловік;13-08-1976;Філолог;хутір Коростень;шосе Святослава Ріхтера, буд. 59, Жашків, 28565;057 513-26-13;zorianmykhailychenko@example.org
Щириця Костянтин;Григорович;чоловік;29-06-1947;Історик;селище Погребище;площа Єліна, буд. 26, Заліщики, 09441;+380 (03) 385-53-62;zakusylomykyta@example.org
Цимбал Владислав;Тимофійович;чоловік;06-05-1949;Патологоанатом;село Переяслав;провулок Педагогічний, буд. 900 кв. 1, Корсунь-Шевченківський, 48685;+380 54 130-35-06;sofiiaatamaniuk@example.net
Яременко Григорій;Анатолійович;чоловік;17-07-1942;Астроном;місто Рені;площа Паркова, буд. 67 кв. 5, Перевальськ, 17866;+380 94 062-60-49;averes@example.org
Масоха Андрій;Григорович;чоловік;24-11-1949;Музичний редактор;село Снігурівка;площа Щоголєва, буд. 0, Нова Одеса, 66690;040 943-81-76;valentyndavydenko@example.com
Шухевич Ярослава;Василівна;жінка;10-07-1964;Стиліст;селище Коломия;сквер Місячна, буд. 29, Зоринськ, 10930;343 39 39;qshablii@example.com
Гузенко Соломон;Андрійович;чоловік;08-03-1973;Електрик;селище Овруч;шосе Верстатобудівна, буд. 567 кв. 4, Моспине, 55774;+380 22 660 64 63;roksolana55@example.org
Жарко Андрій;Михайлович;чоловік;24-03-1975;Ювелір;місто Красноград;проспект Республіканська, буд. 27 кв. 11, Вовчанськ, 96032;+380 83 970 52 71;avhustynlevchenko@example.net
Колодуб Ліза;Григорівна;жінка;20-11-1951;Психолог;місто Ясинувата;провулок Толбухіна, буд. 630, Новомиргород, 37703;079 578-86-13;viktorivasiuk@example.com
Ісаєнко Лариса;Олександрівна;жінка;21-12-1939;Сантехнік;місто Міусинськ;набережна Хлібна гавань, буд. 6 кв. 65, Ворожба, 35920;337 42 16;wnehoda@example.org
Євтушенко Богодар;Олександрович;чоловік;27-03-1995;Художник;селище Білозерське;провулок Глазунова 1-й, буд. 77 кв. 0, Житомир, 69269;+380 02 145 51 91;orlykoles@example.org
Шахрай Камілла;Володимирівна;жінка;09-03-1989;Клоун;місто Помічна;вулиця Друга, буд. 5 кв. 7, Дебальцеве, 58822;399 45 31;aievtushenko@example.com
Акуленко Ілля;Михайлович;чоловік;08-05-1945;Правник;хутір Ржищів;сквер Аркадійська, буд. 870 кв. 627, Родинське, 69248;024 369-21-48;myroslavkonoplia@example.com
Гайворонський Данило;Махайлович;чоловік;23-04-1999;Електромонтажник;хутір Ізюм;проспект Чапаєва, буд. 7 кв. 24, Червоноград, 96247;+380 73 667-93-33;marynaruban@example.net
Лемешко Еріка;Віталівна;жінка;08-04-1994;Музикознавець;місто Дубно;проспект Каманіна, буд. 893 кв. 03, Олександрія, 39161;012 699-01-90;bohodardrozdenko@example.com
Єресько Нестор;Махайлович;чоловік;13-02-1941;Композитор;село Гірське;набережна Бібліотечна, буд. 531 кв. 50, Тисмениця, 26696;+380 63 851-58-64;sofiia63@example.org
Данчук Геннадій;Миколайович;чоловік;14-08-1971;Перекладач;хутір Амвросіївка;сквер Овідіопольська дуга, буд. 6 кв. 2, Зборів, 33785;042 135 54 26;kovalenkoleonid@example.org
Короленко Анастасія;Тимофіївна;жінка;02-11-1989;Локсмайстер;хутір Харків;узвіз Орликова, буд. 10, Бершадь, 43899;+380 74 827-31-66;iaroslavakalenychenko@example.org
Шведченко Аарон;Махайлович;чоловік;02-06-1997;Публіцист;хутір Лозова ;провулок Курська, буд. 791, Херсон, 11512;+380 30 012 03 49;artemavramchuk@example.com
Авраменко Хома;Олександрович;чоловік;10-07-1966;Музикознавець;село Дружківка;парк Розумовський 2-й, буд. 8 кв. 2, Звенигородка, 37727;+380 93 000 45 10;ohavrylyshyn@example.net
Атаманюк Дмитро;Юрійович;чоловік;27-02-1969;Літературознавець;село Кам'янець-Подільський;вулиця Павлодарська, буд. 9, Енергодар, 84663;025 095-30-82;pdemydenko@example.org
Масоха Єлисавета;Андріївна;жінка;14-01-1955;Правник;місто Стрий;площа Донецька, буд. 2 кв. 093, Алупка, 77205;069 322-67-64;siaremko@example.net
Заєць Валентина;Махайлівна;жінка;20-06-1979;Фольклорист;хутір Красногорівка;площа Іцхака Рабіна, буд. 046 кв. 37, Кальміуське, 51340;076 25 76;olhakalchenko@example.net
Жарко Марʼяна;Іванівна;жінка;09-01-1965;Мікробіолог;селище Звенигородка;провулок Байкал тупик, буд. 05 кв. 18, Привілля, 71471;+380 31 834-85-36;nestaikosviatoslava@example.org
Ящук Тимофій;Володимирович;чоловік;27-06-1994;Бізнесмен;місто Саки ;сквер Дворянська, буд. 87, Стрий, 82022;+380 44 961-55-26;amaliiaverhun@example.com
Пустовіт Охрім;Іванович;чоловік;26-12-1997;Пілот;селище Черкаси;вулиця Пржевальського, буд. 24 кв. 05, Хмільник, 07189;629 02 31;nadiia97@example.org
Абраменко Варвара;Тимофіївна;жінка;02-04-1979;Математик;село Дружківка;провулок Горбиста, буд. 997 кв. 9, Балта, 90122;012 486 62 45;iukhymsemenchenko@example.org
